,winner,win_through,loser,match type,title(s),rating,match duration_sec,card_date,card_date_month,champion_status
1066,Sami Zayn & Seth Rollins,pinfall,Damian Priest & Dominik Mysterio,Tag Team,No Title Match,****,728,2023-07-31,2023-07-01,No Title Match
1067,Austin Theory (c),victory,AJ Styles,Single Match,WWE United States Championship,-,964,2023-07-30,2023-07-01,still champion
1068,Katana Chance & Kayden Carter,victory,Alba Fyre & Isla Dawn,Tag Team,No Title Match,-,550,2023-07-30,2023-07-01,No Title Match
1069,Omos,victory,Johnny Gargano,Single Match,No Title Match,-,550,2023-07-30,2023-07-01,No Title Match
1070,Cody Rhodes,victory,Damian Priest,Single Match,No Title Match,-,550,2023-07-30,2023-07-01,No Title Match
1071,Chad Gable & Matt Riddle & Otis,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-07-30,2023-07-01,No Title Match
1072,Asuka (c),victory,"Charlotte Flair, Shotzi",Triple Threat,WWE Women's Championship (2016),-,620,2023-07-30,2023-07-01,still champion
1073,Seth Rollins (c),victory,Finn Bálor,Single Match,WWE World Heavyweight Championship,-,780,2023-07-30,2023-07-01,still champion
1074,Gunther (c),draw (NC),Matt Riddle,Single Match,WWE Intercontinental Championship,-,1012,2023-07-29,2023-07-01,still champion
1075,Chad Gable & Matt Riddle & Otis,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-07-29,2023-07-01,No Title Match
1076,Austin Theory (c),victory,AJ Styles,Single Match,WWE United States Championship,-,964,2023-07-29,2023-07-01,still champion
1077,Katana Chance & Kayden Carter,victory,Alba Fyre & Isla Dawn,Tag Team,No Title Match,-,550,2023-07-29,2023-07-01,No Title Match
1078,Cody Rhodes,victory,Damian Priest,Single Match,No Title Match,-,550,2023-07-29,2023-07-01,No Title Match
1079,Omos,victory,Johnny Gargano,Single Match,No Title Match,-,550,2023-07-29,2023-07-01,No Title Match
1080,Asuka (c),victory,"Charlotte Flair, Shotzi",Triple Threat,WWE Women's Championship (2016),-,620,2023-07-29,2023-07-01,still champion
1081,Seth Rollins (c),victory,Finn Bálor,Single Match,WWE World Heavyweight Championship,-,780,2023-07-29,2023-07-01,still champion
1082,Santos Escobar,victory,Rey Mysterio,Single Match,No Title Match,-,853,2023-07-28,2023-07-01,No Title Match
1083,L.A. Knight,pinfall,"Ashante ""Thee"" Adonis",Single Match,No Title Match,-,92,2023-07-28,2023-07-01,No Title Match
1084,Bianca BelAir & Charlotte Flair,pinfall,Chelsea Green & Sonya Deville,Tag Team,No Title Match,-,625,2023-07-28,2023-07-01,No Title Match
1085,Karrion Kross,pinfall,Karl Anderson,Single Match,No Title Match,-,124,2023-07-28,2023-07-01,No Title Match
1086,Jey Uso,pinfall,Grayson Waller,Single Match,No Title Match,-,677,2023-07-28,2023-07-01,No Title Match
1087,Sanga,pinfall,Akira Tozawa,Single Match,No Title Match,-,217,2023-07-24,2023-07-01,No Title Match
1088,Nikki Cross,pinfall,Kayden Carter,Single Match,No Title Match,-,541,2023-07-24,2023-07-01,No Title Match
1089,Becky Lynch,pinfall,Zoey Stark,Single Match,No Title Match,-,580,2023-07-24,2023-07-01,No Title Match
1090,Dominik Mysterio (c),pinfall,Sami Zayn,Single Match,NXT North American Championship,***½,715,2023-07-24,2023-07-01,still champion
1091,Bronson Reed,pinfall,Tommaso Ciampa,Single Match,No Title Match,-,764,2023-07-24,2023-07-01,No Title Match
1092,Damian Priest,pinfall,Apollo Crews,Single Match,No Title Match,-,189,2023-07-24,2023-07-01,No Title Match
1093,Drew McIntyre,pinfall,Ludwig Kaiser,Single Match,No Title Match,-,574,2023-07-24,2023-07-01,No Title Match
1094,Cruz Del Toro & Joaquin Wilde & Rey Mysterio,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-07-23,2023-07-01,No Title Match
1095,Rhea Ripley (c),victory,"Becky Lynch, Natalya",Triple Threat,WWE Women's World Title,-,865,2023-07-23,2023-07-01,still champion
1096,Austin Theory (c),victory,Santos Escobar,Single Match,WWE United States Championship,-,964,2023-07-23,2023-07-01,still champion
1097,Shayna Baszler,DQ,Ronda Rousey,Single Match,No Title Match,-,550,2023-07-23,2023-07-01,No Title Match
1098,Cody Rhodes,victory,Damian Priest,Single Match,No Title Match,-,550,2023-07-23,2023-07-01,No Title Match
1099,Asuka (c),victory,"Charlotte Flair, Shotzi",Triple Threat,WWE Women's Championship (2016),-,620,2023-07-23,2023-07-01,still champion
1100,Seth Rollins (c),victory,Dominik Mysterio,Single Match,WWE World Heavyweight Championship,-,780,2023-07-23,2023-07-01,still champion
1101,Cody Rhodes,victory,Damian Priest,Single Match,No Title Match,-,550,2023-07-22,2023-07-01,No Title Match
1102,Rhea Ripley (c),victory,"Becky Lynch, Natalya",Triple Threat,WWE Women's World Title,-,865,2023-07-22,2023-07-01,still champion
1103,Cruz Del Toro & Joaquin Wilde & Matt Riddle,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-07-22,2023-07-01,No Title Match
1104,Shayna Baszler,DQ,Ronda Rousey,Single Match,No Title Match,-,550,2023-07-22,2023-07-01,No Title Match
1105,Seth Rollins (c),victory,Dominik Mysterio,Single Match,WWE World Heavyweight Championship,-,780,2023-07-22,2023-07-01,still champion
1106,Austin Theory (c),victory,Santos Escobar,Single Match,WWE United States Championship,-,964,2023-07-22,2023-07-01,still champion
1107,Asuka (c),victory,"Charlotte Flair, Shotzi",Triple Threat,WWE Women's Championship (2016),-,620,2023-07-22,2023-07-01,still champion
1108,Roman Reigns (c),victory,Rey Mysterio,Single Match,WWE Undisputed Universal Title,-,2163,2023-07-22,2023-07-01,still champion
1109,Tiffany Stratton,victory,Kiana James,Single Match,No Title Match,-,550,2023-07-21,2023-07-01,No Title Match
1110,Rey Mysterio,pinfall,"Cameron Grimes, L.A. Knight, Sheamus",Fatal Fourway,No Title Match,-,1118,2023-07-21,2023-07-01,No Title Match
1111,Charlotte Flair,pinfall,Iyo Sky,Single Match,No Title Match,-,849,2023-07-21,2023-07-01,No Title Match
1112,Santos Escobar,pinfall,Austin Theory,Single Match,No Title Match,-,644,2023-07-21,2023-07-01,No Title Match
1113,Dominik Mysterio (c),pinfall,Butch,Single Match,NXT North American Championship,-,473,2023-07-21,2023-07-01,still champion
1114,AJ Styles,victory,Grayson Waller,Single Match,No Title Match,-,550,2023-07-21,2023-07-01,No Title Match
1115,Drew McIntyre,victory,Ludwig Kaiser,Single Match,No Title Match,-,550,2023-07-21,2023-07-01,No Title Match
1116,Apollo Crews,victory,JD McDonagh,Single Match,No Title Match,-,550,2023-07-17,2023-07-01,No Title Match
1117,Riddick Moss,victory,Akira Tozawa,Single Match,No Title Match,-,550,2023-07-17,2023-07-01,No Title Match
1118,Gunther,pinfall,Matt Riddle,Single Match,No Title Match,-,488,2023-07-17,2023-07-01,No Title Match
1119,Chelsea Green & Sonya Deville,pinfall,Liv Morgan (c) & Raquel Rodriguez (c),Tag Team,WWE Womens Tag Team Championship (title change),-,308,2023-07-17,2023-07-01,new champion
1120,Erik & Ivar,pinfall,Chad Gable & Otis,Tag Team,No Title Match,***¾,626,2023-07-17,2023-07-01,No Title Match
1121,Shayna Baszler,submission,Nikki Cross,Single Match,No Title Match,-,20,2023-07-17,2023-07-01,No Title Match
1122,Bronson Reed,DQ,Shinsuke Nakamura,Single Match,No Title Match,-,452,2023-07-17,2023-07-01,No Title Match
1123,Kevin Owens (c) & Sami Zayn (c),pinfall,Damian Priest & Dominik Mysterio,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,****,929,2023-07-17,2023-07-01,still champion
1124,Gunther (c),victory,"Chad Gable, Matt Riddle",Triple Threat,WWE Intercontinental Championship,-,1012,2023-07-16,2023-07-01,still champion
1125,AJ Styles,DQ,Austin Theory (c),Single Match,WWE United States Championship,-,964,2023-07-16,2023-07-01,still champion
1126,A.J. Styles & Karl Anderson,victory,Austin Theory & Kit Wilson,Tag Team,No Title Match,-,550,2023-07-16,2023-07-01,No Title Match
1127,Rhea Ripley (c),victory,Natalya,Single Match,WWE Women's World Title,-,865,2023-07-16,2023-07-01,still champion
1128,Cody Rhodes,victory,Dominik Mysterio,Single Match,No Title Match,-,550,2023-07-16,2023-07-01,No Title Match
1129,Omos,victory,Akira Tozawa,Single Match,No Title Match,-,550,2023-07-16,2023-07-01,No Title Match
1130,Asuka (c),victory,"Bayley, Charlotte Flair",Triple Threat,WWE Women's Championship (2016),-,620,2023-07-16,2023-07-01,still champion
1131,Seth Rollins (c),victory,Finn Bálor,Single Match,WWE World Heavyweight Championship,-,780,2023-07-16,2023-07-01,still champion
1132,AJ Styles,DQ,Austin Theory (c),Single Match,WWE United States Championship,-,964,2023-07-15,2023-07-01,still champion
1133,A.J. Styles & Karl Anderson,victory,Austin Theory & Kit Wilson,Tag Team,No Title Match,-,550,2023-07-15,2023-07-01,No Title Match
1134,Gunther (c),victory,"Chad Gable, Matt Riddle",Triple Threat,WWE Intercontinental Championship,-,1012,2023-07-15,2023-07-01,still champion
1135,Rhea Ripley (c),victory,Natalya,Single Match,WWE Women's World Title,-,865,2023-07-15,2023-07-01,still champion
1136,Cody Rhodes,victory,Dominik Mysterio,Single Match,No Title Match,-,550,2023-07-15,2023-07-01,No Title Match
1137,Omos,victory,Akira Tozawa,Single Match,No Title Match,-,550,2023-07-15,2023-07-01,No Title Match
1138,Asuka (c),victory,"Bayley, Bianca BelAir, Charlotte Flair",Fatal Fourway,WWE Women's Championship (2016),-,620,2023-07-15,2023-07-01,still champion
1139,Seth Rollins (c),victory,Finn Bálor,Single Match,WWE World Heavyweight Championship,-,780,2023-07-15,2023-07-01,still champion
1140,Elton Prince & Kit Wilson,pinfall,Ridge Holland & Sheamus,Tag Team,No Title Match,-,627,2023-07-14,2023-07-01,No Title Match
1141,Bayley,pinfall,Zelina Vega,Single Match,No Title Match,-,122,2023-07-14,2023-07-01,No Title Match
1142,Santos Escobar,pinfall,"A.J. Styles, Butch, Grayson Waller",Fatal Fourway,No Title Match,***¾,755,2023-07-14,2023-07-01,No Title Match
1143,Bianca BelAir,DQ,Asuka (c),Single Match,WWE Women's Championship (2016),-,541,2023-07-14,2023-07-01,still champion
1144,Drew McIntyre & Matt Riddle,pinfall,Giovanni Vinci & Ludwig Kaiser,Tag Team,No Title Match,-,658,2023-07-10,2023-07-01,No Title Match
1145,Zoey Stark,pinfall,Becky Lynch,Single Match,No Title Match,-,627,2023-07-10,2023-07-01,No Title Match
1146,Shayna Baszler,submission,Emma,Single Match,No Title Match,-,93,2023-07-10,2023-07-01,No Title Match
1147,The Miz,pinfall,Tommaso Ciampa,Single Match,No Title Match,-,680,2023-07-10,2023-07-01,No Title Match
1148,Chelsea Green & Sonya Deville,pinfall,Katana Chance & Kayden Carter,Tag Team,No Title Match,-,134,2023-07-10,2023-07-01,No Title Match
1149,Damian Priest & Dominik Mysterio & Finn Bálor,pinfall,Kevin Owens & Sami Zayn & Seth Rollins,Tag Team,No Title Match,-,689,2023-07-10,2023-07-01,No Title Match
1150,Natalya,victory,Xia Li,Single Match,No Title Match,-,550,2023-07-10,2023-07-01,No Title Match
1151,Indi Hartwell,victory,Dana Brooke,Single Match,No Title Match,-,550,2023-07-10,2023-07-01,No Title Match
1152,Zelina Vega,victory,Lacey Evans,Single Match,No Title Match,-,311,2023-07-07,2023-07-01,No Title Match
1153,Austin Theory (c),pinfall,Sheamus,Single Match,WWE United States Championship,-,750,2023-07-07,2023-07-01,still champion
1154,AJ Styles,pinfall,Karrion Kross,Single Match,No Title Match,-,100,2023-07-07,2023-07-01,No Title Match
1155,Edge,pinfall,Grayson Waller,Single Match,No Title Match,-,864,2023-07-07,2023-07-01,No Title Match
1156,Kevin Owens (c) & Sami Zayn (c),victory,Elton Prince & Kit Wilson,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,358,2023-07-07,2023-07-01,still champion
1157,Seth Rollins (c),victory,Finn Bálor,Single Match,WWE World Heavyweight Championship,-,505,2023-07-07,2023-07-01,still champion
1158,Damian Priest,pinfall,Shinsuke Nakamura,Single Match,No Title Match,-,660,2023-07-04,2023-07-01,No Title Match
1159,Chelsea Green & Sonya Deville,pinfall,"Candice LeRae & Indi Hartwell, Dana Brooke & Tegan Nox, Emma & Nikki Cross, Katana Chance & Kayden Carter",Tag Team,No Title Match,-,709,2023-07-04,2023-07-01,No Title Match
1160,Chad Gable & Maxxine Dupri & Otis,pinfall,Erik & Ivar & Valhalla,Tag Team,No Title Match,-,478,2023-07-04,2023-07-01,No Title Match
1161,Rhea Ripley (c),pinfall,Natalya,Single Match,WWE Women's World Title,***¾,786,2023-07-04,2023-07-01,still champion
1162,Matt Riddle,pinfall,Giovanni Vinci,Single Match,No Title Match,-,100,2023-07-04,2023-07-01,No Title Match
1163,Seth Rollins,DQ,Dominik Mysterio,Single Match,No Title Match,-,600,2023-07-04,2023-07-01,No Title Match
1164,JD McDonagh,pinfall,Akira Tozawa,Single Match,No Title Match,-,308,2023-07-03,2023-07-01,No Title Match
1165,Apollo Crews,pinfall,Riddick Moss,Single Match,No Title Match,-,515,2023-07-03,2023-07-01,No Title Match
1166,Charlotte Flair,victory,Bayley,Single Match,No Title Match,-,550,2023-07-02,2023-07-01,No Title Match
1167,Solo Sikoa,victory,Santos Escobar,Single Match,No Title Match,-,550,2023-07-02,2023-07-01,No Title Match
1168,Rey Mysterio,victory,L.A. Knight,Single Match,No Title Match,-,550,2023-07-02,2023-07-01,No Title Match
1169,Austin Theory (c),victory,AJ Styles,Single Match,WWE United States Championship,-,964,2023-07-02,2023-07-01,still champion
1170,Sheamus,victory,Karrion Kross,Single Match,No Title Match,-,550,2023-07-02,2023-07-01,No Title Match
1171,Butch & Ridge Holland,victory,"Ashante ""Thee"" Adonis & Top Dolla",Tag Team,No Title Match,-,550,2023-07-02,2023-07-01,No Title Match
1172,Asuka (c),victory,Bianca BelAir,Single Match,WWE Women's Championship (2016),-,620,2023-07-02,2023-07-01,still champion
1173,Kevin Owens (c) & Sami Zayn (c),victory,"Elton Prince & Kit Wilson, Jey Uso & Jimmy Uso, Karl Anderson & Luke Gallows",Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-07-02,2023-07-01,still champion
1174,Damian Priest,victory,"Butch, L.A. Knight, Logan Paul, Ricochet, Santos Escobar, Shinsuke Nakamura",Battle Royal/Andre The Giant Memorial,No Title Match,****½,1227,2023-07-01,2023-07-01,No Title Match
1175,Liv Morgan & Raquel Rodriguez,pinfall,Ronda Rousey (c) & Shayna Baszler (c),Tag Team,WWE Womens Tag Team Championship (title change),**¾,542,2023-07-01,2023-07-01,new champion
1176,Gunther (c),submission,Matt Riddle,Single Match,WWE Intercontinental Championship,**¾,464,2023-07-01,2023-07-01,still champion
1177,Cody Rhodes,pinfall,Dominik Mysterio,Single Match,No Title Match,***,518,2023-07-01,2023-07-01,No Title Match
1178,Iyo Sky,victory,"Bayley, Becky Lynch, Trish Stratus, Zelina Vega, Zoey Stark",Battle Royal/Andre The Giant Memorial,No Title Match,****,1084,2023-07-01,2023-07-01,No Title Match
1179,Seth Rollins (c),pinfall,Finn Bálor,Single Match,WWE World Heavyweight Championship,***½,751,2023-07-01,2023-07-01,still champion
1180,Jey Uso & Jimmy Uso,pinfall,Roman Reigns & Solo Sikoa,Tag Team,No Title Match,****½,1925,2023-07-01,2023-07-01,No Title Match
1181,Becky Lynch,victory,Piper Niven,Single Match,No Title Match,-,550,2023-06-30,2023-06-01,No Title Match
1182,Becky Lynch,victory,Zoey Stark,Single Match,No Title Match,-,550,2023-06-30,2023-06-01,No Title Match
1183,Dominik Mysterio,victory,Ricochet,Single Match,No Title Match,-,550,2023-06-30,2023-06-01,No Title Match
1184,Chad Gable & Matt Riddle & Otis,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-06-30,2023-06-01,No Title Match
1185,Cody Rhodes,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-06-30,2023-06-01,No Title Match
1186,Bronson Reed,victory,Shinsuke Nakamura,Single Match,No Title Match,-,550,2023-06-30,2023-06-01,No Title Match
1187,Rhea Ripley (c),victory,Natalya,Single Match,WWE Women's World Title,-,865,2023-06-30,2023-06-01,still champion
1188,Seth Rollins (c),victory,Damian Priest,Single Match,WWE World Heavyweight Championship,-,780,2023-06-30,2023-06-01,still champion
1189,Kevin Owens (c) & Sami Zayn (c),victory,Elton Prince & Kit Wilson,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-06-30,2023-06-01,still champion
1190,Austin Theory,victory,Ridge Holland,Single Match,No Title Match,-,550,2023-06-30,2023-06-01,No Title Match
1191,Bayley,victory,Shotzi,Single Match,No Title Match,-,550,2023-06-30,2023-06-01,No Title Match
1192,Butch,victory,"L.A. Knight, Santos Escobar",Triple Threat,No Title Match,-,550,2023-06-30,2023-06-01,No Title Match
1193,Asuka (c),draw (NC),Charlotte Flair,Single Match,WWE Women's Championship (2016),-,620,2023-06-30,2023-06-01,still champion
1194,Becky Lynch,victory,Zoey Stark,Single Match,No Title Match,-,550,2023-06-29,2023-06-01,No Title Match
1195,Bronson Reed,victory,Shinsuke Nakamura,Single Match,No Title Match,-,550,2023-06-29,2023-06-01,No Title Match
1196,Rhea Ripley (c),victory,Natalya,Single Match,WWE Women's World Title,-,865,2023-06-29,2023-06-01,still champion
1197,Chad Gable & Matt Riddle & Otis,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-06-29,2023-06-01,No Title Match
1198,Cody Rhodes,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-06-29,2023-06-01,No Title Match
1199,Raquel Rodriguez,victory,Piper Niven,Single Match,No Title Match,-,550,2023-06-29,2023-06-01,No Title Match
1200,Dominik Mysterio,victory,Ricochet,Single Match,No Title Match,-,550,2023-06-29,2023-06-01,No Title Match
1201,Seth Rollins (c),victory,Damian Priest,Single Match,WWE World Heavyweight Championship,-,780,2023-06-29,2023-06-01,still champion
1202,Sheamus,victory,Karrion Kross,Single Match,No Title Match,-,550,2023-06-29,2023-06-01,No Title Match
1203,Lyra Valkyria,victory,Scarlett,Single Match,No Title Match,-,550,2023-06-29,2023-06-01,No Title Match
1204,Charlotte Flair,victory,"Bayley, Bianca BelAir",Triple Threat,No Title Match,-,550,2023-06-29,2023-06-01,No Title Match
1205,Austin Theory (c),victory,"A.J. Styles, L.A. Knight",Triple Threat,WWE United States Championship,-,964,2023-06-29,2023-06-01,still champion
1206,Solo Sikoa,victory,Santos Escobar,Single Match,No Title Match,-,550,2023-06-29,2023-06-01,No Title Match
1207,Kevin Owens (c) & Sami Zayn (c),victory,"Elton Prince & Kit Wilson, Jey Uso & Jimmy Uso, Karl Anderson & Luke Gallows",Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-06-29,2023-06-01,still champion
1208,Chad Gable & Matt Riddle & Otis,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-06-28,2023-06-01,No Title Match
1209,Becky Lynch,victory,Zoey Stark,Single Match,No Title Match,-,550,2023-06-28,2023-06-01,No Title Match
1210,Bronson Reed,victory,Shinsuke Nakamura,Single Match,No Title Match,-,550,2023-06-28,2023-06-01,No Title Match
1211,Rhea Ripley (c),victory,Natalya,Single Match,WWE Women's World Title,-,865,2023-06-28,2023-06-01,still champion
1212,Cody Rhodes,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-06-28,2023-06-01,No Title Match
1213,Raquel Rodriguez,victory,Piper Niven,Single Match,No Title Match,-,550,2023-06-28,2023-06-01,No Title Match
1214,Dominik Mysterio,victory,Ricochet,Single Match,No Title Match,-,550,2023-06-28,2023-06-01,No Title Match
